production_date,mine_id,planned_production,actual_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature
2026-01-01,1,500,480,20,2,1,5.2,32.5,28.4
2026-01-02,1,500,495,21,1,0.5,2.1,30.8,29.1
2026-01-03,1,500,450,18,3,2,15.7,38.2,27.5
2026-01-04,1,500,470,19,2.5,1.5,8.4,35.1,28.0
2026-01-05,1,500,500,22,0.5,0,1.2,28.4,30.2
2026-01-06,1,500,430,17,4,3,25.6,45.3,26.8
2026-01-07,1,500,460,18,3,2.5,18.3,41.7,27.1
2026-01-08,1,500,490,21,1.5,0.5,3.5,31.2,29.6
2026-01-09,1,500,475,20,2,1,7.8,34.6,28.7
2026-01-10,1,500,410,16,5,3.5,32.4,49.8,26.2
